salt,treatment,replicate,hour_0,hour_4,hour_24,hour_47,hour_70,hour_90,hour_119,hour_140
InstantOcean,0,A,10,10,10,10,10,10,10,10
InstantOcean,0,B,10,10,10,10,10,10,10,10
InstantOcean,1000,A,10,10,10,10,10,10,10,10
InstantOcean,1000,B,10,10,10,10,10,10,10,10
InstantOcean,2000,A,10,10,10,10,10,10,10,10
InstantOcean,2000,B,10,10,10,10,10,10,10,10
InstantOcean,3000,A,10,10,10,10,10,10,10,10
InstantOcean,3000,B,10,10,10,10,10,10,10,10
InstantOcean,4000,A,10,10,10,10,10,10,10,10
InstantOcean,4000,B,10,10,10,10,10,10,10,10
InstantOcean,5000,A,10,10,10,10,10,10,10,10
InstantOcean,5000,B,10,10,10,10,10,10,10,10
InstantOcean,6000,A,10,10,10,10,10,10,10,10
InstantOcean,6000,B,10,10,10,10,10,10,10,10
InstantOcean,7000,A,10,10,10,10,10,10,10,10
InstantOcean,7000,B,10,10,10,10,10,10,10,10