Date of Assay,Body Sizes,Animal Number,Notes,Gravid (Y/N),Eggs Internal (Y/N),Species
2_08_26,7.88,1,,,Y,L.sicilis
02_08_26,7.775,2,,,Y,L.sicilis
02_08_26,9.291,3,,Y,,L.sicilis
02_08_26,8.305,4,,Y,,L.sicilis
02_08_26,8.307,5,,,,L.sicilis
02_08_26,8.433,6,,Y,,L.sicilis
02_08_26,8.518,7,,,Y,L.sicilis
02_08_26,8.007,8,,Y,,L.sicilis
02_08_26,6.25,9,,,,L.sicilis
02_08_26,8.343,10,,,,L.sicilis
02_08_26,8.196,11,,,Y,L.sicilis
02_08_26,9.087,12,,,,L.sicilis
2_10_26,8.208,1,,,,L.sicilis
2_10_26,9.204,2,,,,L.sicilis
2_10_26,8.976,3,,,,L.sicilis
2_10_26,8.481,4,,,Y,L.sicilis
2_10_26,7.973,5,,,Y,L.sicilis
2_10_26,9.097,6,,,,L.sicilis
2_10_26,8.942,7,,,,L.sicilis
2_10_26,9.151,8,,,,L.sicilis
2_10_26,8.413,9,,Y,,L.sicilis
2_10_26,8.436,10,,,,L.sicilis
2_10_26,8.851,11,,,,L.sicilis
2_10_26,9.048,12,,,,L.sicilis
2_10_26,9.114,13,,Y,,L.sicilis
2_10_26,9.185,14,,,,L.sicilis
2_10_26,8.489,15,,,,L.sicilis
2_10_26,8.452,16,,,,L.sicilis
2_10_26,8.597,17,,,,L.sicilis
2_15_26,7.438,1,,,,L.sicilis
2_15_26,8.538,2,,,,L.sicilis
2_15_26,8.041,3,,,,L.sicilis
2_15_26,9.137,4,,Y,,L.sicilis
2_15_26,8.256,5,,Y,,L.sicilis
2_15_26,6.839,6,on its side,,,L.sicilis
2_15_26,7.422,7,,,,L.sicilis
2_15_26,7.501,8,,,Y,L.sicilis
2_15_26,5.988,9,really small?,,,L.sicilis
2_15_26,8.777,10,,,,L.sicilis
1_14_26,11.206,1,,,Y,L.sicilis
1_14_26,9.702,2,,,,L.sicilis
1_14_26,11.153,3,,,,L.sicilis
1_14_26,11.91,4,,,,L.sicilis
1_14_26,10.559,5,,,,L.sicilis
1_14_26,8.558,6,,,,L.sicilis
1_14_26,8.783,7,,,,L.sicilis
1_14_26,9.02,8,,,Y,L.sicilis
1_14_26,8.708,9,,,Y,L.sicilis
1_14_26,8.131,10,,,Y,L.sicilis
1_14_26,8.574,11,,,,L.sicilis
1_14_26,9.779,12,,,Y,L.sicilis
1_14_26,9.033,13,,,,L.sicilis
1_14_26,9.192,14,,,,L.sicilis
1_14_26,9.019,15,,,,L.sicilis
11_10_25,6.63,1,,,,L.minutus
11_10_25,5.59,2,,,,L.minutus
11_10_25,6.728,3,,,,L.minutus
11_10_25,7.582,4,,,,L.minutus
11_10_25,6.697,5,,,,L.minutus
11_10_25,5.753,6,,,,L.minutus
11_10_25,7.062,8,,,,L.minutus
11_10_25,6.449,9,,,,L.minutus
11_10_25,5.968,10,,,,L.minutus
2_03_26,7.593,1,,Y,,L.sicilis
2_03_26,8.73,2,,,Y,L.sicilis
2_03_26,7.999,3,,,,L.sicilis
2_03_26,8.856,5,eggs recently hatched,,,L.sicilis
2_03_26,8.662,6,,,,L.sicilis
2_03_26,7.833,7,,Y,,L.sicilis
2_03_26,8.611,8,,,Y,L.sicilis
2_03_26,7.145,9,,,,L.sicilis
2_03_26,8.405,10,,Y,,L.sicilis
2_03_26,8.668,11,,,,L.sicilis
2_03_26,8.553,12,"one egg outside body, rest internal",,Y,L.sicilis
2_03_26,8.499,13,on side,,,L.sicilis
2_03_26,7.939,14,,,,L.sicilis
2_03_26,8.39,15,,Y,,L.sicilis
2_03_26,8.476,16,,Y,,L.sicilis
2_03_26,8.6,17,,Y,,L.sicilis
2_03_26,7.966,18,,Y,,L.sicilis
2_03_26,8.41,19,all but one egg hatched,Y,,L.sicilis
2_03_26,7.598,20,,,,L.sicilis
02_05_26,7.785,1,,,,L.sicilis
02_05_26,7.376,2,,,,L.sicilis
02_05_26,8.479,3,,,,L.sicilis
02_05_26,7.293,4,,,,L.sicilis
02_05_26,8.135,5,,,,L.sicilis
02_05_26,7.864,6,,,,L.sicilis
02_05_26,8.436,7,,,,L.sicilis
02_05_26,9.157,8,,,,L.sicilis
02_05_26,8.085,9,,,,L.sicilis
02_05_26,8.086,10,,,,L.sicilis
02_05_26,8.183,11,,,,L.sicilis
02_05_26,7.731,13,,,,L.sicilis
02_05_26,8.368,14,,,,L.sicilis
12_09_25,5.905,1,,,,L.minutus
12_09_25,6.34,2,,,,L.minutus
12_09_25,7.072,3,,,,L.minutus
12_09_25,7.774,4,,,,L.minutus
12_09_25,7.546,5,,,,L.minutus
12_09_25,6.306,6,,,,L.minutus
12_09_25,6.189,7,,,,L.minutus
12_09_25,6.753,8,,,,L.minutus
12_09_25,6.816,10,,,,L.minutus
12_09_25,6.728,11,,,,L.minutus
12_09_25,6.86,13,,,,L.minutus
12_09_25,7.099,14,,,,L.minutus
12_11_25,6.101,1,,,,L.minutus
12_11_25,7.79,2,,,,L.minutus
12_11_25,8.119,3,,,,L.minutus
12_11_25,7.896,4,,,,L.minutus
12_11_25,7.157,5,,,,L.minutus
12_11_25,7.191,6,,,,L.minutus
12_11_25,7.622,7,,,,L.minutus
12_11_25,7.055,8,,,,L.minutus
12_11_25,6.516,9,,,,L.minutus
12_11_25,6.636,10,,,,L.minutus
12_11_25,8.35,11,,,,L.minutus
12_11_25,7.559,12,,,,L.minutus
12_11_25,6.42,13,,,,L.minutus
12_11_25,7.831,14,,,,L.minutus
12_11_25,7.673,15,,,,L.minutus
12_11_25,6.747,16,,,,L.minutus
12_11_25,6.976,17,,,,L.minutus
12_11_25,6.809,18,,,,L.minutus
12_10_25,7.744,1,,,,L.minutus
12_10_25,7.347,2,,,,L.minutus
12_10_25,6.874,3,,,,L.minutus
12_10_25,8.654,4,,,,L.minutus
12_10_25,8.48,5,,,,L.minutus
12_10_25,7.324,6,,,,L.minutus
12_10_25,7.199,7,,,,L.minutus
12_10_25,7.215,8,,,,L.minutus
12_10_25,7.454,9,,,,L.minutus
12_10_25,5.92,10,,,,L.minutus
12_10_25,6.77,11,,,,L.minutus
12_10_25,7.6,12,,,,L.minutus
12_10_25,6.855,13,,,,L.minutus
12_10_25,6.956,14,,,,L.minutus
12_10_25,8.16,15,,,,L.minutus
12_10_25,6.794,16,,,,L.minutus
12_10_25,9.001,17,,,,L.minutus
12_10_25,6.348,18,,,,L.minutus
12_10_25,7.888,19,,,,L.minutus
12_10_25,6.396,20,,,,L.minutus
11_21_25,6.249,1,,,,L.minutus
11_21_25,6.259,2,,,,L.minutus
11_21_25,8.106,3,Skisto,,,L.minutus
11_21_25,6.368,4,,,,L.minutus
11_21_25,7.181,5,,,,L.minutus
11_21_25,6.384,6,,,,L.minutus
11_21_25,6.087,7,,,,L.minutus
11_21_25,5.704,8,,,,L.minutus
11_21_25,5.884,9,,,,L.minutus
11_21_25,6.84,10,,,,L.minutus
11_21_25,6.529,11,,,,L.minutus
11_21_25,6.39,12,,,,L.minutus
11_21_25,7.007,13,,,,L.minutus
11_21_25,6.638,14,,,,L.minutus
11_21_25,6.429,15,,,,L.minutus
11_13_25,9.537,1,,,,L.minutus
11_13_25,5.961,2,,,,L.minutus
11_13_25,6.043,3,,,,L.minutus
11_13_25,5.982,4,,,,L.minutus
11_13_25,7.131,5,,,,L.minutus
11_13_25,6.477,6,,,,L.minutus
11_13_25,7.003,7,,,,L.minutus
11_13_25,6.135,8,,,,L.minutus
11_13_25,5.808,9,,,,L.minutus
11_13_25,5.505,10,,,,L.minutus
11_13_25,5.494,11,,,,L.minutus
11_13_25,6.007,12,,,,L.minutus
11_13_25,5.608,13,,,,L.minutus
3_25_26,8.01,1,,,,L.sicilis
3_25_26,7.866,2,,,Y,L.sicilis
3_25_26,8.32,3,,Y,,L.sicilis
3_25_26,6.699,4,,,Y,L.sicilis
3_25_26,7.752,5,,,,L.sicilis
3_25_26,8.539,6,,,Y,L.sicilis
3_25_26,8.249,7,,,,L.sicilis
3_25_26,7.882,8,,,Y,L.sicilis
3_25_26,9.164,9,,Y,,L.sicilis
3_25_26,7.495,10,,,,L.sicilis
3_25_26,8.074,11,,,Y,L.sicilis
3_25_26,7.581,12,,,,L.sicilis
3_25_26,8.265,13,,,Y,L.sicilis
3_25_26,8.086,14,,,,L.sicilis
3_25_26,7.983,15,,,,L.sicilis
3_25_26,8.562,16,,,,L.sicilis
3_25_26,7.418,17,,,,L.sicilis
3_25_26,8.133,19,,,Y,L.sicilis
3_25_26,7.224,20,,,,L.sicilis
3_25_26,7.432,22,,Y,,L.sicilis
3_25_26,7.633,23,,,,L.sicilis
3_23_26,8.215,1,,,,L.sicilis
3_23_26,9.094,2,,,,L.sicilis
3_23_26,9.034,3,,,,L.sicilis
3_23_26,7.784,4,,Y,,L.sicilis
3_23_26,7.238,5,,,,L.sicilis
3_23_26,7.685,6,,,,L.sicilis
3_23_26,7.376,7,,,,L.sicilis
3_23_26,7.797,8,,,,L.sicilis
3_23_26,7.88,9,,,,L.sicilis
3_23_26,7.892,10,,,,L.sicilis
3_23_26,8.729,11,,,,L.sicilis
3_23_26,8.981,12,,,,L.sicilis
3_23_26,9.486,13,,,Y,L.sicilis
3_23_26,8.313,14,,,,L.sicilis
3_23_26,7.952,15,,,Y,L.sicilis
3_23_26,9.415,16,,,Y,L.sicilis